ticket_id,status,assignee,changed_date
38,Выполнено,ymosyagina,2025-01-02 10:03:11
39,Ожидает обработки,alesushkov,2024-10-14 21:40:22
39,В работе,nikiforovaana,2024-10-14 23:13:22
39,Ожидается ответ пользователя,asayfuddinov,2024-10-15 02:14:01
39,На согласовании,alesushkov,2024-10-15 04:37:00
39,В работе,msharova,2024-10-15 08:41:19
39,Ожидается ответ пользователя,rkarvenov,2024-10-15 11:48:05
39,Выполнено,alesushkov,2024-10-15 15:46:17
40,Ожидает обработки,rkarvenov,2024-11-18 07:41:10
40,В работе,nikiforovaana,2024-11-18 10:07:27
40,На согласовании,rkarvenov,2024-11-18 12:20:23
40,На согласовании,msharova,2024-11-18 18:25:28
40,Отменен,rkarvenov,2024-11-18 22:07:33
41,Ожидает обработки,nikiforovaana,2024-11-27 19:36:45
41,В работе,nikiforovaana,2024-11-27 23:50:34
41,В разработке,nikiforovaana,2024-11-28 05:02:30
41,Отменен,nikiforovaana,2024-11-28 14:02:14
42,Ожидает обработки,msharova,2024-10-14 00:46:59
42,В работе,dnoosan,2024-10-14 05:26:38
42,Ожидается ответ пользователя,ymosyagina,2024-10-14 07:12:58
42,В работе,msharova,2024-10-14 09:14:35
42,Выполнено,msharova,2024-10-14 14:07:32
43,Ожидает обработки,dnoosan,2025-02-24 06:12:54
43,В работе,nikiforovaana,2025-02-24 13:15:16
43,В разработке,dnoosan,2025-02-24 21:05:37
43,В работе,dnoosan,2025-02-25 05:12:08
43,На согласовании,mburuhin,2025-02-25 13:17:26
43,Выполнено,rkarvenov,2025-02-25 21:28:40
44,Ожидает обработки,dnoosan,2025-02-15 19:18:59
44,В работе,dnoosan,2025-02-16 03:17:57
44,На согласовании,dnoosan,2025-02-16 13:13:06
44,Ожидается ответ пользователя,dnoosan,2025-02-16 17:31:12
44,Выполнено,dnoosan,2025-02-16 21:45:20
45,Ожидает обработки,asayfuddinov,2024-12-31 00:30:13
45,В работе,asayfuddinov,2024-12-31 04:42:50
45,В разработке,asayfuddinov,2024-12-31 11:49:31
45,Выполнено,rkarvenov,2024-12-31 17:05:28
46,Ожидает обработки,aplyukhina,2024-12-21 05:42:56
46,В работе,aplyukhina,2024-12-21 06:41:08
46,В работе,ymosyagina,2024-12-21 07:26:26
46,Ожидается ответ пользователя,mburuhin,2024-12-21 09:17:10
46,В разработке,ymosyagina,2024-12-21 10:54:48
46,Выполнено,aplyukhina,2024-12-21 12:26:47
47,Ожидает обработки,alesushkov,2024-11-24 17:05:19
47,В работе,alesushkov,2024-11-25 05:42:12
47,На согласовании,ymosyagina,2024-11-25 16:31:32
47,На согласовании,ymosyagina,2024-11-25 20:50:10
47,Ожидается ответ пользователя,alesushkov,2024-11-26 01:55:36
47,На согласовании,alesushkov,2024-11-26 07:54:03
47,Отменен,alesushkov,2024-11-26 20:31:15
48,Ожидает обработки,alesushkov,2025-02-04 04:57:56
48,В работе,alesushkov,2025-02-04 08:10:18
48,В разработке,alesushkov,2025-02-04 10:15:07
48,Ожидается ответ пользователя,alesushkov,2025-02-04 14:25:41
48,Выполнено,alesushkov,2025-02-04 16:36:58
49,Ожидает обработки,aplyukhina,2024-12-13 13:02:09
49,В работе,aplyukhina,2024-12-14 01:08:37
49,В разработке,aplyukhina,2024-12-14 09:45:27
49,Ожидается ответ пользователя,aplyukhina,2024-12-14 16:42:37
49,Отменен,aplyukhina,2024-12-15 05:10:03
50,Ожидает обработки,nikiforovaana,2024-10-26 04:41:43
50,В работе,nikiforovaana,2024-10-26 12:18:06
50,В работе,nikiforovaana,2024-10-26 19:40:53
50,Отменен,nikiforovaana,2024-10-27 02:58:17
51,Ожидает обработки,alesushkov,2025-02-07 12:14:10
51,В работе,nikiforovaana,2025-02-07 20:09:01
51,В разработке,alesushkov,2025-02-08 09:53:17
51,В работе,alesushkov,2025-02-08 19:06:01
51,Ожидается ответ пользователя,alesushkov,2025-02-09 03:09:18
51,Выполнено,ymosyagina,2025-02-09 08:26:27
52,Ожидает обработки,aplyukhina,2025-02-11 12:43:29
52,В работе,mburuhin,2025-02-11 15:55:03
52,Ожидается ответ пользователя,aplyukhina,2025-02-11 20:27:12
52,В разработке,aplyukhina,2025-02-11 23:42:32
52,В работе,aplyukhina,2025-02-12 01:30:12
52,В разработке,aplyukhina,2025-02-12 06:04:35
52,Выполнено,aplyukhina,2025-02-12 10:41:44
53,Ожидает обработки,rkarvenov,2024-11-02 03:06:03
53,В работе,alesushkov,2024-11-02 05:12:31
53,Ожидается ответ пользователя,rkarvenov,2024-11-02 06:41:56
53,Выполнено,ymosyagina,2024-11-02 09:43:15
54,Ожидает обработки,nikiforovaana,2025-02-24 22:04:38
54,В работе,nikiforovaana,2025-02-25 00:56:17
54,Ожидается ответ пользователя,agliskov,2025-02-25 07:19:25
54,В разработке,nikiforovaana,2025-02-25 11:52:16
54,Отменен,nikiforovaana,2025-02-25 16:10:04
55,Ожидает обработки,dnoosan,2025-02-04 05:02:44
55,В работе,dnoosan,2025-02-04 11:56:33
55,В работе,alesushkov,2025-02-04 17:05:23
55,В работе,dnoosan,2025-02-05 02:14:56
55,В разработке,dnoosan,2025-02-05 05:29:01
55,Ожидается ответ пользователя,asayfuddinov,2025-02-05 11:27:07
55,Выполнено,alesushkov,2025-02-05 19:19:48
56,Ожидает обработки,nikiforovaana,2024-10-14 09:36:42
56,В работе,nikiforovaana,2024-10-14 11:08:34
56,В разработке,agliskov,2024-10-14 12:51:49
56,На согласовании,ymosyagina,2024-10-14 13:59:40
56,Отменен,nikiforovaana,2024-10-14 15:25:52
57,Ожидает обработки,nikiforovaana,2024-10-11 10:05:52
57,В работе,msharova,2024-10-11 16:03:08
57,Ожидается ответ пользователя,nikiforovaana,2024-10-11 19:58:22
57,Выполнено,nikiforovaana,2024-10-12 03:33:17
58,Ожидает обработки,aplyukhina,2024-12-07 06:22:05
58,В работе,rkarvenov,2024-12-07 17:25:36
58,В работе,aplyukhina,2024-12-08 01:48:00
58,Выполнено,aplyukhina,2024-12-08 05:51:07
59,Ожидает обработки,dnoosan,2024-11-06 11:01:54
59,В работе,agliskov,2024-11-06 13:12:35
59,В разработке,dnoosan,2024-11-06 18:18:15
59,В разработке,dnoosan,2024-11-07 00:19:34
59,В работе,msharova,2024-11-07 07:17:33
59,Выполнено,dnoosan,2024-11-07 15:30:04
60,Ожидает обработки,msharova,2024-12-27 17:39:21
60,В работе,msharova,2024-12-27 21:15:11
60,В работе,msharova,2024-12-27 23:44:18
60,В работе,agliskov,2024-12-28 01:25:07
60,В работе,msharova,2024-12-28 05:44:47
60,Ожидается ответ пользователя,msharova,2024-12-28 08:56:19
60,Выполнено,nikiforovaana,2024-12-28 10:05:38
61,Ожидает обработки,agliskov,2024-12-27 23:56:22
61,В работе,msharova,2024-12-28 05:02:19
61,Ожидается ответ пользователя,agliskov,2024-12-28 13:31:57
61,На согласовании,agliskov,2024-12-28 22:17:08
61,Выполнено,agliskov,2024-12-29 09:36:24
62,Ожидает обработки,rkarvenov,2024-12-05 19:47:13
62,В работе,mburuhin,2024-12-05 21:30:18
62,В разработке,rkarvenov,2024-12-05 23:08:40
62,На согласовании,rkarvenov,2024-12-06 00:06:32
62,Выполнено,rkarvenov,2024-12-06 01:23:42
63,Ожидает обработки,aplyukhina,2024-11-23 23:10:36
63,В работе,aplyukhina,2024-11-24 03:25:19
63,На согласовании,aplyukhina,2024-11-24 12:12:34
63,Отменен,nikiforovaana,2024-11-24 21:04:04
64,Ожидает обработки,ymosyagina,2024-12-20 12:26:00
64,В работе,ymosyagina,2024-12-20 16:09:06
64,На согласовании,ymosyagina,2024-12-21 05:15:04
64,Выполнено,ymosyagina,2024-12-21 13:14:59
65,Ожидает обработки,agliskov,2025-01-02 03:38:43
65,В работе,agliskov,2025-01-02 06:11:06
65,В работе,agliskov,2025-01-02 07:27:59
65,В работе,agliskov,2025-01-02 09:37:51
65,На согласовании,agliskov,2025-01-02 11:39:23
65,Отменен,mburuhin,2025-01-02 13:04:19
66,Ожидает обработки,ymosyagina,2025-02-11 07:56:43
66,В работе,ymosyagina,2025-02-11 14:59:18
66,В работе,msharova,2025-02-11 19:54:35
66,Выполнено,ymosyagina,2025-02-12 03:03:04
67,Ожидает обработки,nikiforovaana,2024-12-13 12:05:05
67,В работе,agliskov,2024-12-13 16:30:37
67,На согласовании,nikiforovaana,2024-12-13 20:38:06
67,Ожидается ответ пользователя,nikiforovaana,2024-12-14 01:25:39
67,На согласовании,dnoosan,2024-12-14 07:40:27
67,Выполнено,dnoosan,2024-12-14 12:36:33
68,Ожидает обработки,nikiforovaana,2024-10-17 13:47:08
68,В работе,nikiforovaana,2024-10-17 17:52:07
68,В разработке,nikiforovaana,2024-10-17 19:46:44
68,В разработке,nikiforovaana,2024-10-17 22:23:36
68,Выполнено,nikiforovaana,2024-10-18 04:24:45
69,Ожидает обработки,aplyukhina,2024-12-17 07:41:17
69,В работе,aplyukhina,2024-12-17 11:31:25
69,Ожидается ответ пользователя,mburuhin,2024-12-17 16:55:32
69,Отменен,aplyukhina,2024-12-18 00:10:59
70,Ожидает обработки,ymosyagina,2025-02-15 18:56:07
70,В работе,alesushkov,2025-02-16 00:56:54
70,На согласовании,ymosyagina,2025-02-16 10:40:13
70,Отменен,ymosyagina,2025-02-16 16:58:32
71,Ожидает обработки,asayfuddinov,2024-11-14 15:54:19
71,В работе,asayfuddinov,2024-11-14 19:23:17
71,В разработке,nikiforovaana,2024-11-15 02:46:36
71,В работе,asayfuddinov,2024-11-15 10:31:39
71,Ожидается ответ пользователя,asayfuddinov,2024-11-15 19:56:14
71,Ожидается ответ пользователя,asayfuddinov,2024-11-15 22:55:08
71,Выполнено,asayfuddinov,2024-11-16 02:58:21
72,Ожидает обработки,alesushkov,2024-11-18 20:30:58
72,В работе,alesushkov,2024-11-19 08:04:00
72,На согласовании,alesushkov,2024-11-19 17:19:41
72,На согласовании,alesushkov,2024-11-19 23:26:37
72,Отменен,alesushkov,2024-11-20 14:19:13
73,Ожидает обработки,asayfuddinov,2024-12-14 08:17:59
73,В работе,mburuhin,2024-12-14 14:52:19
73,Ожидается ответ пользователя,asayfuddinov,2024-12-15 02:28:03
73,В разработке,asayfuddinov,2024-12-15 11:16:26
73,Ожидается ответ пользователя,rkarvenov,2024-12-15 17:21:07
73,Выполнено,aplyukhina,2024-12-16 01:14:08
74,Ожидает обработки,agliskov,2025-01-04 16:27:25
74,В работе,agliskov,2025-01-04 20:14:53
74,Ожидается ответ пользователя,agliskov,2025-01-05 00:03:34
74,Ожидается ответ пользователя,alesushkov,2025-01-05 06:32:36
74,В работе,agliskov,2025-01-05 10:26:02
74,В работе,agliskov,2025-01-05 13:25:22
74,Выполнено,msharova,2025-01-05 19:37:30
75,Ожидает обработки,ymosyagina,2025-02-21 05:07:59
75,В работе,ymosyagina,2025-02-21 07:44:29
75,В работе,ymosyagina,2025-02-21 14:30:30
75,В работе,dnoosan,2025-02-21 17:30:44
75,Выполнено,ymosyagina,2025-02-21 19:35:54
76,Ожидает обработки,asayfuddinov,2024-10-04 12:28:01
76,В работе,asayfuddinov,2024-10-04 13:10:36
76,В работе,asayfuddinov,2024-10-04 14:02:28
76,Ожидается ответ пользователя,asayfuddinov,2024-10-04 15:13:53
76,На согласовании,dnoosan,2024-10-04 15:56:33
76,Выполнено,aplyukhina,2024-10-04 17:13:03
77,Ожидает обработки,alesushkov,2024-12-16 09:42:34
77,В работе,alesushkov,2024-12-16 20:10:43
77,В разработке,alesushkov,2024-12-17 05:15:37
77,Отменен,alesushkov,2024-12-17 14:45:46
78,Ожидает обработки,asayfuddinov,2024-11-11 01:16:06
78,В работе,asayfuddinov,2024-11-11 04:06:25
78,Ожидается ответ пользователя,asayfuddinov,2024-11-11 08:17:34
78,На согласовании,asayfuddinov,2024-11-11 10:32:52
78,Ожидается ответ пользователя,asayfuddinov,2024-11-11 13:48:55
78,В работе,asayfuddinov,2024-11-11 16:00:49
78,Отменен,rkarvenov,2024-11-11 20:03:44
79,Ожидает обработки,msharova,2024-12-25 19:25:11
79,В работе,nikiforovaana,2024-12-26 02:17:32
79,В работе,rkarvenov,2024-12-26 09:46:29
79,Отменен,msharova,2024-12-26 14:49:52
80,Ожидает обработки,alesushkov,2025-01-11 12:55:37
80,В работе,asayfuddinov,2025-01-11 21:37:13
80,Ожидается ответ пользователя,asayfuddinov,2025-01-12 09:05:09
80,Отменен,alesushkov,2025-01-12 17:27:06
81,Ожидает обработки,aplyukhina,2024-10-07 00:45:02
81,В работе,aplyukhina,2024-10-07 10:21:13
81,Ожидается ответ пользователя,dnoosan,2024-10-07 18:18:12
81,В разработке,aplyukhina,2024-10-08 08:57:24
81,Отменен,aplyukhina,2024-10-08 19:15:33
82,Ожидает обработки,dnoosan,2024-11-22 07:32:27
82,В работе,dnoosan,2024-11-22 12:12:28
82,Ожидается ответ пользователя,dnoosan,2024-11-22 16:38:43
82,В работе,ymosyagina,2024-11-22 19:48:33
82,На согласовании,dnoosan,2024-11-22 22:47:00
82,На согласовании,dnoosan,2024-11-23 01:09:14
82,Выполнено,dnoosan,2024-11-23 04:13:05
83,Ожидает обработки,mburuhin,2024-11-17 16:51:57
83,В работе,mburuhin,2024-11-17 23:25:29
83,Ожидается ответ пользователя,mburuhin,2024-11-18 04:23:30
83,Выполнено,mburuhin,2024-11-18 13:32:29
84,Ожидает обработки,nikiforovaana,2024-10-10 23:28:49
84,В работе,nikiforovaana,2024-10-11 02:31:45
84,В работе,nikiforovaana,2024-10-11 05:27:37
84,Выполнено,nikiforovaana,2024-10-11 07:37:45
85,Ожидает обработки,rkarvenov,2024-11-07 04:22:19
85,В работе,rkarvenov,2024-11-07 08:50:59
85,В разработке,agliskov,2024-11-07 15:52:26
85,Отменен,rkarvenov,2024-11-08 00:44:06
86,Ожидает обработки,rkarvenov,2024-11-09 11:09:00
86,В работе,rkarvenov,2024-11-09 20:44:13
86,В разработке,rkarvenov,2024-11-10 08:20:04
86,Ожидается ответ пользователя,rkarvenov,2024-11-10 14:37:24
86,В работе,rkarvenov,2024-11-10 21:43:17
86,Отменен,rkarvenov,2024-11-11 07:22:58
87,Ожидает обработки,aplyukhina,2024-11-08 22:50:39
87,В работе,dnoosan,2024-11-09 02:34:29
87,В работе,aplyukhina,2024-11-09 08:21:34
87,На согласовании,aplyukhina,2024-11-09 10:19:43
87,Ожидается ответ пользователя,aplyukhina,2024-11-09 13:37:22
87,Ожидается ответ пользователя,dnoosan,2024-11-09 18:45:46
87,Выполнено,aplyukhina,2024-11-10 00:13:07
88,Ожидает обработки,nikiforovaana,2024-11-04 04:03:59
88,В работе,nikiforovaana,2024-11-04 05:13:05
88,В работе,ymosyagina,2024-11-04 07:31:57
88,Выполнено,nikiforovaana,2024-11-04 08:56:19
89,Ожидает обработки,msharova,2025-01-23 21:06:55
89,В работе,mburuhin,2025-01-23 23:32:03
89,На согласовании,msharova,2025-01-24 02:51:48
89,В разработке,msharova,2025-01-24 05:22:09
89,В работе,agliskov,2025-01-24 07:56:55
89,Отменен,mburuhin,2025-01-24 09:25:57
90,Ожидает обработки,nikiforovaana,2025-01-04 12:32:07
90,В работе,nikiforovaana,2025-01-04 17:50:43
90,В разработке,nikiforovaana,2025-01-04 22:27:10
90,Выполнено,nikiforovaana,2025-01-05 01:56:42
91,Ожидает обработки,asayfuddinov,2024-12-20 09:51:00
91,В работе,asayfuddinov,2024-12-20 14:51:49
91,Ожидается ответ пользователя,asayfuddinov,2024-12-20 17:44:35
91,На согласовании,asayfuddinov,2024-12-20 21:39:00
91,В работе,asayfuddinov,2024-12-21 02:18:20
91,На согласовании,asayfuddinov,2024-12-21 05:36:43
91,Выполнено,aplyukhina,2024-12-21 10:11:20
