,ticket_id,ticket_name,created_date,resolved_date,first_status,last_status,first_assignee,last_assignee,priority,tag,sla_hours
45,46,SD-911_6000046,2024-11-07 03:25:58,2024-11-07 09:25:58,Ожидает обработки,В работу,mburuhin,mburuhin,P3,oe_cargo,72
46,47,SD-911_6000047,2024-10-19 18:05:15,2024-10-20 01:05:15,Ожидает обработки,В работу,dnoosan,mburuhin,P4,oe_posting_problem,168
47,48,SD-911_6000048,2024-12-31 02:06:58,2024-12-31 04:06:58,Ожидает обработки,В работу,nikiforovaana,nikiforovaana,P2,oe_notcorrect,24
48,49,SD-911_6000049,2024-12-14 22:21:28,2024-12-15 00:21:28,Ожидает обработки,В работу,aplyukhina,aplyukhina,P2,,24
49,50,SD-911_6000050,2025-01-17 02:52:54,2025-01-17 08:52:54,Ожидает обработки,В работу,msharova,msharova,P4,oe_cargo,168
50,51,SD-911_6000051,2025-01-05 17:54:18,2025-02-06 11:54:18,Ожидает обработки,В работу,dnoosan,dnoosan,P5,oe_datafix,720
51,52,SD-911_6000052,2024-12-06 16:46:08,2025-01-07 00:46:08,Ожидает обработки,Отменен,nikiforovaana,nikiforovaana,P5,oe_returns,720
52,53,SD-911_6000053,2024-10-01 03:07:25,2024-10-01 10:07:25,Ожидает обработки,В работу,ymosyagina,ymosyagina,P4,oe_rsp,168
53,54,SD-911_6000054,2024-12-21 08:48:40,2024-12-27 05:48:40,Ожидает обработки,Отменен,agliskov,ymosyagina,P4,oe_synk,168
54,55,SD-911_6000055,2024-10-10 14:23:07,2024-10-10 17:23:07,Ожидает обработки,В работу,nikiforovaana,nikiforovaana,P2,oe_consig,24
55,56,SD-911_6000056,2024-12-24 20:52:17,2024-12-24 21:52:17,Ожидает обработки,В работу,agliskov,alesushkov,P4,oe_datafix,168
56,57,SD-911_6000057,2024-10-30 09:06:17,2024-11-05 05:06:17,Ожидает обработки,Выполнено,ymosyagina,nikiforovaana,P4,oe_posting_problem,168
57,58,SD-911_6000058,2024-11-14 07:41:11,2024-11-14 08:41:11,Ожидает обработки,Отменен,ymosyagina,ymosyagina,P2,oe_posting_problem,24
58,59,SD-911_6000059,2024-10-10 10:41:43,2024-10-10 14:41:43,Ожидает обработки,В работу,mburuhin,mburuhin,P3,oe_cargo,72
59,60,SD-911_6000060,2024-11-08 00:36:52,2024-11-08 02:36:52,Ожидает обработки,В работу,ymosyagina,ymosyagina,P2,,24
60,61,SD-911_6000061,2024-11-30 02:24:06,2024-11-30 06:24:06,Ожидает обработки,В работу,dnoosan,dnoosan,P5,oe_rsp,720
61,62,SD-911_6000062,2024-10-18 14:37:11,2024-10-21 03:37:11,Ожидает обработки,Выполнено,mburuhin,alesushkov,P4,oe_consig,168
62,63,SD-911_6000063,2024-11-13 23:46:26,2024-11-15 09:46:26,Ожидает обработки,Отменен,alesushkov,alesushkov,P1,oe_inventory,2
63,64,SD-911_6000064,2024-12-25 09:54:46,2024-12-30 00:54:46,Ожидает обработки,В работу,nikiforovaana,msharova,P3,oe_posting_problem,72
64,65,SD-911_6000065,2024-11-11 15:05:30,2024-11-11 23:05:30,Ожидает обработки,В работу,msharova,dnoosan,P3,oe_rsp,72
65,66,SD-911_6000066,2025-01-30 05:03:28,2025-02-01 11:03:28,Ожидает обработки,В работу,msharova,msharova,P3,oe_returns,72
66,67,SD-911_6000067,2024-10-22 18:13:36,2024-10-22 19:13:36,Ожидает обработки,В работу,nikiforovaana,nikiforovaana,P3,,72
67,68,SD-911_6000068,2024-11-15 09:24:50,2024-11-20 12:24:50,Ожидает обработки,В работу,nikiforovaana,asayfuddinov,P3,oe_notcorrect,72
68,69,SD-911_6000069,2024-10-03 06:51:21,2024-10-03 10:51:21,Ожидает обработки,В работу,asayfuddinov,asayfuddinov,P3,oe_cargo,72
69,70,SD-911_6000070,2025-01-15 18:47:50,2025-01-15 19:47:50,Ожидает обработки,В работу,rkarvenov,rkarvenov,P3,oe_cargo,72
70,71,SD-911_6000071,2024-12-08 08:09:59,2025-01-09 03:09:59,Ожидает обработки,В работу,agliskov,agliskov,P5,oe_inventory,720
71,72,SD-911_6000072,2024-10-08 00:19:56,2024-10-08 13:19:56,Ожидает обработки,В работу,rkarvenov,agliskov,P1,oe_rsp,2
72,73,SD-911_6000073,2024-11-26 22:12:26,2024-11-27 03:12:26,Ожидает обработки,В работу,ymosyagina,ymosyagina,P3,oe_inventory,72
73,74,SD-911_6000074,2024-10-22 07:44:27,2024-10-22 09:44:27,Ожидает обработки,В работу,dnoosan,mburuhin,P3,oe_datafix,72
74,75,SD-911_6000075,2024-12-10 14:18:56,2024-12-10 21:18:56,Ожидает обработки,В работу,mburuhin,mburuhin,P4,oe_rsp,168
75,76,SD-911_6000076,2024-12-10 08:04:27,2024-12-10 11:04:27,Ожидает обработки,В работу,aplyukhina,aplyukhina,P4,oe_rsp,168
76,77,SD-911_6000077,2024-11-09 05:26:44,2024-11-09 06:26:44,Ожидает обработки,В работу,alesushkov,alesushkov,P2,oe_consig_asgard,24
77,78,SD-911_6000078,2024-10-16 19:16:45,2024-10-16 21:16:45,Ожидает обработки,Отменен,asayfuddinov,asayfuddinov,P3,oe_rsp,72
78,79,SD-911_6000079,2024-12-20 10:49:14,2024-12-20 17:49:14,Ожидает обработки,В работу,dnoosan,dnoosan,P4,,168
79,80,SD-911_6000080,2025-01-02 14:33:59,2025-01-02 17:33:59,Ожидает обработки,В работу,agliskov,agliskov,P4,oe_returns,168
80,81,SD-911_6000081,2025-01-28 00:01:35,2025-01-28 06:01:35,Ожидает обработки,В работу,rkarvenov,asayfuddinov,P5,oe_posting_problem,720
81,82,SD-911_6000082,2024-11-25 11:27:16,2024-11-28 19:27:16,Ожидает обработки,В работу,ymosyagina,nikiforovaana,P2,oe_datafix,24
82,83,SD-911_6000083,2024-10-22 11:51:12,2024-10-22 14:51:12,Ожидает обработки,В работу,nikiforovaana,agliskov,P4,oe_posting_problem,168
83,84,SD-911_6000084,2025-01-13 12:36:08,2025-01-14 02:36:08,Ожидает обработки,В работу,rkarvenov,nikiforovaana,P5,oe_consig_asgard,720
84,85,SD-911_6000085,2025-01-04 19:55:16,2025-01-10 05:55:16,Ожидает обработки,Отменен,aplyukhina,aplyukhina,P3,oe_posting_pushing,72
85,86,SD-911_6000086,2024-12-07 06:25:26,2025-01-07 14:25:26,Ожидает обработки,Отменен,aplyukhina,aplyukhina,P5,oe_kiz,720
86,87,SD-911_6000087,2024-11-01 17:23:12,2024-11-02 04:23:12,Ожидает обработки,В работу,alesushkov,msharova,P4,oe_cargo,168
87,88,SD-911_6000088,2025-01-11 13:18:07,2025-01-11 18:18:07,Ожидает обработки,В работу,asayfuddinov,asayfuddinov,P4,oe_datafix,168
88,89,SD-911_6000089,2024-12-16 10:23:46,2024-12-16 11:23:46,Ожидает обработки,Отменен,mburuhin,mburuhin,P2,oe_inventory,24
89,90,SD-911_6000090,2024-10-17 17:09:50,2024-10-17 21:09:50,Ожидает обработки,Отменен,rkarvenov,rkarvenov,P2,oe_inventory,24
90,91,SD-911_6000091,2024-11-17 03:27:52,2024-11-17 05:27:52,Ожидает обработки,В работу,mburuhin,mburuhin,P2,oe_consig,24
91,92,SD-911_6000092,2024-12-12 07:00:20,2024-12-12 13:00:20,Ожидает обработки,В работу,mburuhin,mburuhin,P4,oe_returns,168
92,93,SD-911_6000093,2024-11-13 19:53:27,2024-11-14 07:53:27,Ожидает обработки,В работу,msharova,msharova,P4,oe_move_fresh_to_wms,168
93,94,SD-911_6000094,2024-10-27 11:18:39,2024-10-27 15:18:39,Ожидает обработки,В работу,dnoosan,dnoosan,P4,oe_posting_problem,168
94,95,SD-911_6000095,2024-11-23 02:22:47,2024-11-23 05:22:47,Ожидает обработки,В работу,ymosyagina,dnoosan,P3,oe_returns,72
95,96,SD-911_6000096,2024-11-12 06:42:44,2024-11-12 12:42:44,Ожидает обработки,В работу,asayfuddinov,msharova,P5,oe_move_fresh_to_wms,720
96,97,SD-911_6000097,2024-10-28 00:21:16,2024-10-28 02:21:16,Ожидает обработки,В работу,asayfuddinov,mburuhin,P4,oe_returns,168
97,98,SD-911_6000098,2024-11-06 23:13:29,2024-11-07 08:13:29,Ожидает обработки,В работу,dnoosan,mburuhin,P4,oe_posting_pushing,168
98,99,SD-911_6000099,2024-11-21 05:39:38,2024-11-21 09:39:38,Ожидает обработки,Отменен,alesushkov,alesushkov,P2,oe_kiz,24
99,100,SD-911_6000100,2024-11-19 15:01:34,2024-11-19 19:01:34,Ожидает обработки,В работу,rkarvenov,rkarvenov,P3,oe_inventory,72
100,101,SD-911_6000101,2024-11-02 14:43:13,2024-11-02 16:43:13,Ожидает обработки,В работу,mburuhin,nikiforovaana,P3,oe_cargo,72
101,102,SD-911_6000102,2024-11-23 13:24:01,2024-11-23 21:24:01,Ожидает обработки,В работу,asayfuddinov,asayfuddinov,P4,oe_consig_asgard,168
102,103,SD-911_6000103,2025-01-25 16:09:29,2025-01-26 00:09:29,Ожидает обработки,В работу,dnoosan,dnoosan,P4,oe_datafix,168
103,104,SD-911_6000104,2024-12-04 19:27:59,2024-12-04 21:27:59,Ожидает обработки,В работу,mburuhin,mburuhin,P4,oe_posting_pushing,168
104,105,SD-911_6000105,2024-10-26 15:44:07,2024-10-27 03:44:07,Ожидает обработки,В работу,mburuhin,mburuhin,P4,oe_inventory,168
105,106,SD-911_6000106,2024-11-04 00:35:50,2024-11-04 11:35:50,Ожидает обработки,Отменен,alesushkov,alesushkov,P4,oe_inventory,168
106,107,SD-911_6000107,2024-10-24 07:59:54,2024-10-24 12:59:54,Ожидает обработки,Отменен,aplyukhina,aplyukhina,P5,oe_returns,720
107,108,SD-911_6000108,2025-01-16 04:29:51,2025-01-17 19:29:51,Ожидает обработки,В работу,agliskov,agliskov,P2,oe_posting_pushing,24
108,109,SD-911_6000109,2025-01-05 21:08:27,2025-01-06 05:08:27,Ожидает обработки,В работу,ymosyagina,msharova,P3,oe_inventory,72
109,110,SD-911_6000110,2024-11-01 17:21:30,2024-11-10 04:21:30,Ожидает обработки,В работу,mburuhin,mburuhin,P4,oe_rsp,168
110,111,SD-911_6000111,2024-12-07 13:08:30,2024-12-14 21:08:30,Ожидает обработки,В работу,asayfuddinov,asayfuddinov,P4,oe_posting_problem,168
111,112,SD-911_6000112,2024-11-12 20:45:54,2024-11-15 13:45:54,Ожидает обработки,В работу,ymosyagina,mburuhin,P2,oe_posting_problem,24
112,113,SD-911_6000113,2024-11-27 08:52:53,2024-11-27 09:52:53,Ожидает обработки,В работу,agliskov,agliskov,P1,oe_datafix,2
113,114,SD-911_6000114,2024-10-13 22:29:17,2024-10-14 03:29:17,Ожидает обработки,В работу,alesushkov,alesushkov,P3,oe_posting_problem,72
114,115,SD-911_6000115,2024-12-04 14:07:26,2024-12-05 02:07:26,Ожидает обработки,В работу,alesushkov,alesushkov,P4,oe_posting_pushing,168
115,116,SD-911_6000116,2024-11-06 06:34:17,2024-11-06 07:34:17,Ожидает обработки,В работу,nikiforovaana,nikiforovaana,P3,oe_rsp,72
116,117,SD-911_6000117,2025-01-08 08:56:07,2025-01-08 19:56:07,Ожидает обработки,В работу,rkarvenov,alesushkov,P4,oe_posting_problem,168
117,118,SD-911_6000118,2024-10-08 07:42:51,2024-10-08 14:42:51,Ожидает обработки,В работу,ymosyagina,aplyukhina,P5,oe_returns,720
118,119,SD-911_6000119,2024-10-18 23:36:55,2024-10-19 04:36:55,Ожидает обработки,Отменен,ymosyagina,ymosyagina,P4,oe_cargo,168
119,120,SD-911_6000120,2024-12-15 17:20:59,2024-12-17 20:20:59,Ожидает обработки,В работу,nikiforovaana,nikiforovaana,P2,oe_posting_pushing,24
120,121,SD-911_6000121,2024-11-05 23:18:50,2024-11-12 20:18:50,Ожидает обработки,В работу,agliskov,mburuhin,P3,oe_rsp,72
121,122,SD-911_6000122,2025-01-03 23:07:16,2025-01-07 04:07:16,Ожидает обработки,В работу,dnoosan,mburuhin,P3,oe_returns,72
122,123,SD-911_6000123,2024-10-20 13:34:27,2024-10-20 16:34:27,Ожидает обработки,В работу,dnoosan,aplyukhina,P2,oe_inventory,24
123,124,SD-911_6000124,2024-11-22 04:39:27,2024-11-22 09:39:27,Ожидает обработки,В работу,dnoosan,aplyukhina,P4,oe_cargo,168
124,125,SD-911_6000125,2024-12-01 04:36:32,2024-12-01 10:36:32,Ожидает обработки,В работу,ymosyagina,nikiforovaana,P3,oe_returns,72
125,126,SD-911_6000126,2024-10-11 23:01:56,2024-10-16 11:01:56,Ожидает обработки,В работу,asayfuddinov,asayfuddinov,P3,oe_returns,72
126,127,SD-911_6000127,2024-10-30 09:42:28,2024-11-01 17:42:28,Ожидает обработки,В работу,ymosyagina,ymosyagina,P4,oe_rsp,168
127,128,SD-911_6000128,2024-10-20 19:04:23,2024-10-26 14:04:23,Ожидает обработки,В работу,mburuhin,mburuhin,P4,oe_posting_problem,168
128,129,SD-911_6000129,2024-11-19 08:54:26,2024-11-22 05:54:26,Ожидает обработки,В работу,agliskov,asayfuddinov,P5,oe_inventory,720
129,130,SD-911_6000130,2024-11-19 05:10:07,2024-11-19 08:10:07,Ожидает обработки,В работу,dnoosan,dnoosan,P3,oe_inventory,72
130,131,SD-911_6000131,2025-01-12 04:38:40,2025-01-12 06:38:40,Ожидает обработки,В работу,aplyukhina,aplyukhina,P1,oe_cargo,2
131,132,SD-911_6000132,2024-11-24 04:01:32,2024-11-24 05:01:32,Ожидает обработки,В работу,dnoosan,dnoosan,P1,oe_cargo,2
132,133,SD-911_6000133,2024-10-31 07:14:21,2024-11-02 08:14:21,Ожидает обработки,Выполнено,rkarvenov,rkarvenov,P3,oe_datafix,72
133,134,SD-911_6000134,2024-11-26 18:00:42,2024-12-04 13:00:42,Ожидает обработки,В работу,msharova,agliskov,P4,oe_posting_problem,168
134,135,SD-911_6000135,2025-01-21 17:20:23,2025-01-21 21:20:23,Ожидает обработки,В работу,rkarvenov,rkarvenov,P3,oe_kiz,72
135,136,SD-911_6000136,2024-12-17 08:55:50,2024-12-17 09:55:50,Ожидает обработки,Отменен,alesushkov,alesushkov,P3,oe_rsp,72
136,137,SD-911_6000137,2024-12-07 10:47:07,2024-12-09 04:47:07,Ожидает обработки,В работу,rkarvenov,rkarvenov,P3,oe_cargo,72
137,138,SD-911_6000138,2024-12-02 17:27:27,2024-12-02 23:27:27,Ожидает обработки,В работу,agliskov,mburuhin,P3,oe_cargo,72
138,139,SD-911_6000139,2024-12-17 12:20:54,2024-12-17 13:20:54,Ожидает обработки,В работу,rkarvenov,rkarvenov,P1,oe_notcorrect,2
139,140,SD-911_6000140,2024-11-26 21:05:42,2024-11-27 05:05:42,Ожидает обработки,В работу,agliskov,mburuhin,P5,oe_returns,720
140,141,SD-911_6000141,2024-10-01 22:27:03,2024-10-02 02:27:03,Ожидает обработки,В работу,msharova,msharova,P4,oe_posting_problem,168
141,142,SD-911_6000142,2024-12-22 02:39:38,2024-12-22 10:39:38,Ожидает обработки,В работу,msharova,msharova,P3,oe_consig_asgard,72
142,143,SD-911_6000143,2024-11-12 01:54:10,2024-11-12 04:54:10,Ожидает обработки,В работу,msharova,msharova,P3,oe_posting_pushing,72
143,144,SD-911_6000144,2024-10-01 04:10:32,2024-10-01 08:10:32,Ожидает обработки,В работу,msharova,msharova,P2,oe_returns,24
144,145,SD-911_6000145,2024-11-22 16:18:53,2024-11-22 22:18:53,Ожидает обработки,В работу,agliskov,agliskov,P4,oe_notcorrect,168
145,146,SD-911_6000146,2025-01-04 21:22:19,2025-01-04 22:22:19,Ожидает обработки,В работу,dnoosan,dnoosan,P3,oe_returns,72
146,147,SD-911_6000147,2024-11-06 04:20:04,2024-11-06 05:20:04,Ожидает обработки,В работу,mburuhin,nikiforovaana,P2,oe_cargo,24
147,148,SD-911_6000148,2024-10-23 15:53:52,2024-10-27 11:53:52,Ожидает обработки,В работу,nikiforovaana,msharova,P2,oe_cargo,24
148,149,SD-911_6000149,2024-11-25 16:52:57,2024-12-03 12:52:57,Ожидает обработки,Отменен,msharova,msharova,P4,oe_datafix,168
149,150,SD-911_6000150,2025-01-20 00:31:14,2025-01-20 10:31:14,Ожидает обработки,В работу,mburuhin,mburuhin,P4,oe_datafix,168
150,151,SD-911_6000151,2024-11-10 01:29:53,2024-11-10 03:29:53,Ожидает обработки,В работу,agliskov,agliskov,P4,oe_notcorrect,168
151,152,SD-911_6000152,2024-11-17 17:14:19,2024-11-23 00:14:19,Ожидает обработки,В работу,agliskov,agliskov,P3,oe_inventory,72
152,153,SD-911_6000153,2024-11-14 08:31:25,2024-11-14 15:31:25,Ожидает обработки,В работу,mburuhin,mburuhin,P4,oe_consig,168
153,154,SD-911_6000154,2024-10-02 03:59:48,2024-10-02 07:59:48,Ожидает обработки,В работу,rkarvenov,rkarvenov,P4,oe_posting_problem,168
154,155,SD-911_6000155,2024-12-11 15:52:33,2024-12-16 07:52:33,Ожидает обработки,В работу,rkarvenov,rkarvenov,P4,oe_synk,168
155,156,SD-911_6000156,2025-01-21 18:01:14,2025-01-22 23:01:14,Ожидает обработки,Выполнено,alesushkov,ymosyagina,P2,oe_posting_problem,24
156,157,SD-911_6000157,2024-10-26 09:27:45,2024-10-26 12:27:45,Ожидает обработки,В работу,msharova,msharova,P3,oe_posting_problem,72
157,158,SD-911_6000158,2024-10-16 01:51:22,2024-10-16 09:51:22,Ожидает обработки,В работу,mburuhin,rkarvenov,P3,oe_inventory,72
158,159,SD-911_6000159,2024-12-23 16:39:43,2025-01-01 13:39:43,Ожидает обработки,Выполнено,aplyukhina,aplyukhina,P4,oe_datafix,168
159,160,SD-911_6000160,2024-10-06 10:26:45,2024-10-06 12:26:45,Ожидает обработки,В работу,mburuhin,mburuhin,P2,oe_kiz,24
160,161,SD-911_6000161,2024-10-05 08:16:19,2024-10-05 19:16:19,Ожидает обработки,В работу,asayfuddinov,ymosyagina,P5,oe_datafix,720
161,162,SD-911_6000162,2024-12-04 03:38:44,2024-12-04 10:38:44,Ожидает обработки,В работу,aplyukhina,aplyukhina,P3,oe_rsp,72
162,163,SD-911_6000163,2024-12-15 09:54:32,2024-12-15 10:54:32,Ожидает обработки,В работу,nikiforovaana,nikiforovaana,P2,oe_posting_problem,24
163,164,SD-911_6000164,2024-12-10 18:49:42,2024-12-10 21:49:42,Ожидает обработки,В работу,nikiforovaana,dnoosan,P3,,72
164,165,SD-911_6000165,2024-10-21 06:02:51,2024-10-21 12:02:51,Ожидает обработки,В работу,ymosyagina,ymosyagina,P3,oe_returns,72
165,166,SD-911_6000166,2025-01-20 12:48:24,2025-01-26 14:48:24,Ожидает обработки,Отменен,mburuhin,rkarvenov,P4,oe_inventory,168
166,167,SD-911_6000167,2024-12-25 10:52:19,2024-12-25 13:52:19,Ожидает обработки,В работу,aplyukhina,aplyukhina,P2,oe_returns,24
167,168,SD-911_6000168,2025-01-24 21:48:08,2025-01-25 02:48:08,Ожидает обработки,Отменен,dnoosan,dnoosan,P4,oe_cargo,168
168,169,SD-911_6000169,2024-12-28 12:27:30,2024-12-28 17:27:30,Ожидает обработки,В работу,alesushkov,ymosyagina,P3,oe_cargo,72
169,170,SD-911_6000170,2024-12-19 06:09:38,2024-12-19 10:09:38,Ожидает обработки,В работу,agliskov,agliskov,P3,oe_notcorrect,72
170,171,SD-911_6000171,2024-12-21 11:50:50,2024-12-21 14:50:50,Ожидает обработки,В работу,mburuhin,nikiforovaana,P2,oe_cargo,24
171,172,SD-911_6000172,2025-01-27 17:01:42,2025-01-27 18:01:42,Ожидает обработки,В работу,dnoosan,alesushkov,P2,oe_consig,24
172,173,SD-911_6000173,2024-10-26 00:10:19,2024-10-26 01:10:19,Ожидает обработки,В работу,agliskov,agliskov,P1,oe_returns,2
173,174,SD-911_6000174,2025-01-09 19:30:32,2025-01-17 01:30:32,Ожидает обработки,В работу,msharova,dnoosan,P3,oe_incident_bo,72
174,175,SD-911_6000175,2024-10-05 06:20:22,2024-10-05 07:20:22,Ожидает обработки,В работу,rkarvenov,rkarvenov,P1,oe_posting_problem,2
175,176,SD-911_6000176,2025-01-04 10:08:07,2025-01-06 04:08:07,Ожидает обработки,В работу,rkarvenov,nikiforovaana,P4,oe_datafix,168
176,177,SD-911_6000177,2024-11-15 13:25:36,2024-11-23 02:25:36,Ожидает обработки,В работу,asayfuddinov,asayfuddinov,P4,oe_inventory,168
177,178,SD-911_6000178,2025-01-15 05:02:49,2025-01-22 16:02:49,Ожидает обработки,В работу,agliskov,agliskov,P4,oe_cargo,168
178,179,SD-911_6000179,2025-01-10 21:26:20,2025-01-11 09:26:20,Ожидает обработки,В работу,dnoosan,dnoosan,P4,oe_posting_problem,168
